NIT,GRUPO POBLACIONAL,RED TERRITORIAL,LOCALIDAD,DIA DE PEDIDO,FRECUENCIA
900085682,6,4,14,1,15
900085682,3,4,14,1,15
900091485,8,9,19,5,15
900449230,4,3,9,2,15
830080643,4,4,14,6,7
900340996,1,5,4,2,15
900171089,8,9,19,3,15
900963439,8,9,19,1,15
901084195,8,9,19,3,7
900774045,8,9,19,5,7
860028947,3,3,9,3,30
900800817,8,9,19,1,15
901092799,11,7,22,1,30
860033785,8,9,19,4,15
860033785,11,9,19,4,15
890981333,10,3,7,2,7
830143088,1,3,8,6,15
900112753,8,7,22,4,15
900112753,5,7,22,4,15
830107764,9,3,8,4,15
900363825,8,3,9,1,7
860014805,8,3,9,5,15
900995615,5,4,14,4,15
830132331,8,9,19,1,7
830122807,7,1,9,2,15
900065413,3,2,5,2,7
900216738,8,3,8,3,15
900064486,9,11,11,1,15
900989512,1,5,15,1,15
860076833,3,4,16,4,7
860023408,11,7,25,2,15
860023408,11,7,25,2,15
830062192,8,3,8,2,15
860014805,8,1,11,5,15
800043886,1,3,8,4,30
900868810,4,1,11,1,7
900320142,9,5,4,5,15
830129949,8,1,11,4,15
860021713,5,6,13,1,15
900163303,5,2,5,3,15
901043214,8,9,19,1,15
900066996,9,3,8,5,7
900126032,11,4,17,4,15
900262945,5,3,9,4,30
900407662,9,1,11,2,15
800040208,1,8,1,1,30
800040208,11,8,1,1,30
830024534,8,3,8,1,15
900177830,5,12,18,5,15
830114309,8,4,3,1,15
900189564,5,12,18,6,15
830097154,1,2,5,3,7
901692519,7,3,8,1,7
860523694,10,4,14,1,7
900370489,4,3,8,4,30
901295021,1,1,11,1,7
860025553,6,1,10,2,15
830122712,6,1,10,5,15
800236035,8,7,22,4,15
800236035,8,5,4,4,15
830091306,3,3,8,1,15
800151826,2,5,5,2,7
900136903,9,3,8,3,7
900298439,1,3,8,5,7
860007314,11,12,3,2,15
860007314,6,12,3,2,15
900266337,4,2,5,6,7
900077736,1,2,5,6,15
900179144,2,3,24,4,7
900138104,7,6,12,5,15
900529512,1,6,18,1,30
800208607,10,4,38,2,15
901408406,1,3,35,1,7
900236037,1,4,16,4,15
901018804,11,4,3,5,7
830121587,11,9,19,2,7
901299177,11,9,19,4,15
800243329,1,7,22,2,30
800243329,1,7,22,2,30
900051220,1,8,1,2,30
900746165,1,4,3,4,15
860034248,6,8,1,4,15
830084156,5,12,14,2,15
901312445,3,3,8,1,30
900317029,7,3,8,2,15
860514355,7,8,1,4,15
860504924,11,6,12,4,15
900243121,8,7,22,3,30
900746165,1,4,3,4,15
900313532,8,2,18,6,15
900666616,8,3,8,5,7
900888635,1,1,10,2,15
901394689,11,9,19,5,7
860531776,8,7,22,1,15
830097378,5,5,4,3,15
830063790,8,6,2,4,15
900175374,5,2,15,4,7
900659667,9,3,8,3,15
800048102,9,7,22,2,15
830056893,10,7,7,3,7
830053460,4,3,9,2,7
830002453,8,4,13,1,15
832006557,1,7,22,6,15
900895750,8,2,5,2,7
900248011,8,7,7,2,30
